no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0,1,0,1,1,1,0,197,4,-1
0,1,1,1,1,1,0,48,5,-1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,232.0,8.0,5465.7
0,0,0,0,0,0,0,157,6,-1
0,0,1,1,1,1,0,47,7,-1
0,0,0,0,0,0,0,181,6,-1
1,1,1,1,0,0,0,232,1,-1
0,1,1,0,0,1,0,153,5,-1
0,1,0,1,0,1,0,48,9,-1
1,0,0,1,0,0,0,189,9,-1
1,1,0,0,1,1,1,68,6,-1
0,0,0,0,0,0,1,78,7,-1
1,0,0,0,1,0,1,82,2,-1
1,0,0,1,0,1,0,190,2,-1
0,0,1,1,1,1,0,200,8,-1
1,0,1,1,0,1,1,47,5,-1
1,0,1,0,0,0,0,240,5,-1
0,1,0,1,0,0,1,122,3,-1
0,0,1,0,1,0,1,250,6,-1
0,0,0,1,0,1,1,171,3,-1
1,0,0,1,0,1,1,72,5,-1
1,0,0,1,1,1,0,60,2,-1
1,1,0,0,1,0,0,40,6,-1
1,1,1,0,1,1,1,182,6,-1
0,0,0,1,1,0,1,56,8,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,222.0,5.0,5542.52
1,1,1,1,0,0,1,55,2,-1
0,0,1,0,0,0,0,69,9,-1
1,0,1,1,0,0,0,144,4,-1
1,1,0,1,1,1,1,86,6,-1
1,1,1,0,1,1,1,207,6,-1
1,0,1,1,1,0,0,139,6,-1
0,0,1,0,1,0,1,190,1,-1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,222.0,9.0,5461.28
0,1,1,0,0,0,0,236,8,-1
1,1,1,1,0,1,0,93,3,-1
0,0,1,1,1,0,0,201,7,-1
1,1,1,1,0,0,1,207,8,-1
1,1,1,0,1,0,1,212,5,-1
0,1,1,1,1,1,0,208,5,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,138.0,1.0,5768.22
0,1,1,1,1,0,1,116,8,-1
1,1,1,1,0,1,0,232,9,-1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,112.0,1.0,3923.37
0,1,1,0,0,0,1,248,9,-1
1.0,0.0,1.0,0.0,0.0,1.0,1.0,183.0,9.0,3681.49
0,0,1,1,0,1,0,122,2,-1
1,0,0,1,0,1,0,230,2,-1
0,0,0,0,0,0,0,41,6,-1
1,1,0,1,1,0,1,84,7,-1
1,1,1,1,0,1,0,90,6,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,123.0,6.0,5540.58
0,0,1,0,1,0,0,166,4,-1
0,0,1,0,1,0,1,233,3,-1
1,1,1,0,0,0,1,217,1,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,5.0,5469.31
1,1,1,0,1,1,0,171,2,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,170.0,9.0,3663.12
1,1,1,0,0,1,0,220,3,-1
1,0,0,1,0,0,0,151,6,-1
1,1,1,1,0,0,1,77,1,-1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,84.0,3.0,5484.44
0.0,0.0,1.0,0.0,1.0,1.0,0.0,232.0,4.0,5478.91
0,0,1,1,1,1,1,223,8,-1
0,1,0,1,0,0,0,160,2,-1
1,1,1,0,1,0,0,206,2,-1
0,1,0,0,0,1,1,162,1,-1
1,0,0,1,0,1,1,236,6,-1
0,0,0,1,0,0,1,62,9,-1
0,1,0,1,1,1,1,122,5,-1
1,1,0,0,1,1,0,61,7,-1
0,1,1,0,1,1,0,184,1,-1
1,0,1,1,0,1,0,240,5,-1
0,1,0,0,1,0,1,102,5,-1
1,1,0,1,1,1,1,109,5,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,147.0,4.0,5483.46
1,1,1,0,0,1,1,138,3,-1
0,0,0,0,0,0,1,51,6,-1
