STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,241.73
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,246.3
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,250.52
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,245.31
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,245.94
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,245.34
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,242.77
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,252.42
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,245.9
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,250.36
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,249.13
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,246
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,248.95
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,247.69
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,253.46
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,250.57
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,250.32
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,245.34
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,236.8
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,244.54
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,248.91
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,244.11
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,250.88
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,245.57
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,245.93
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,236.6
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,245.5
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,239.17
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,254.31
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,245.43
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,242.51
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,248.63
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,237.93
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,244.57
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,250.07
