no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
0.0,0.0,1.0,1.0,0.0,0.0,1.0,40.0,2.0,3763.12
0.0,0.0,1.0,1.0,0.0,0.0,1.0,61.0,10.0,3759.65
0.0,0.0,1.0,1.0,0.0,0.0,1.0,225.0,10.0,3757.62
1.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,2.0,3749.29
1.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,3.0,3734.36
1.0,0.0,1.0,0.0,0.0,1.0,0.0,209.0,7.0,3732.14
1.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,3.0,3721.9
1.0,0.0,1.0,0.0,0.0,1.0,0.0,218.0,10.0,3719.53
1.0,0.0,1.0,0.0,0.0,0.0,1.0,132.0,7.0,3719.02
1.0,0.0,1.0,0.0,0.0,0.0,0.0,159.0,10.0,3712.81
1.0,0.0,1.0,0.0,0.0,0.0,1.0,177.0,10.0,3709.96
1.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,3.0,3708.95
1.0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,3.0,3707.4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,229.0,7.0,3707.23
1.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,4.0,3704.27
1.0,0.0,0.0,0.0,0.0,1.0,1.0,177.0,10.0,3702.77
0.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,3.0,3698.89
0.0,0.0,1.0,0.0,0.0,1.0,1.0,235.0,6.0,3684.91
0.0,0.0,1.0,0.0,0.0,0.0,0.0,138.0,5.0,3682.3
0.0,0.0,1.0,0.0,0.0,1.0,0.0,245.0,6.0,3682.07
0.0,0.0,0.0,0.0,0.0,1.0,0.0,128.0,4.0,3674.07
0.0,0.0,1.0,0.0,0.0,0.0,1.0,218.0,9.0,3670.94
0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,8.0,3666.65
0.0,0.0,1.0,0.0,0.0,0.0,1.0,170.0,10.0,3666.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,135.0,8.0,3665.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,5.0,3661.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,7.0,3661.11
0.0,0.0,0.0,0.0,0.0,1.0,0.0,171.0,10.0,3660.61
