StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
6,1,12,68,0,-1
7,1,11,55,0,4452.32
6,3,20,42,86,4306.08
6,3,18,46,48,4284.28
6,3,18,46,52,-1
5,3,17,47,41,3890.93
6,3,19,44,76,-1
6,3,19,44,69,4420.51
6,3,19,44,65,4400.57
6,3,19,43,81,-1
6,3,19,43,85,4435.09
6,3,20,42,90,3885.73
7,1,20,105,0,-1
10,1,20,423,0,3995.32
7,1,20,116,0,3916.23
9,1,20,294,0,3852.82
7,1,20,106,0,4281.21
8,1,20,216,0,-1
1,10,11,1,1000,-1
6,1,20,99,0,-1
10,1,20,367,0,4329.79
8,1,20,111,0,-1
1,1,20,171,0,4293.43
1,2,20,122,0,-1
1,3,20,80,0,4493.55
1,3,20,131,0,3541.38
1,1,20,234,0,-1
1,3,20,149,0,4356.2
1,1,20,186,0,4378.45
1,2,20,116,0,4255.53
1,1,20,324,0,4290.29
1,1,20,193,0,-1
1,1,13,1,305,4335.22
3,1,14,1,311,4270.08
2,1,12,1,334,-1
1,1,11,1,458,3592.55
5,2,14,26,125,3935.18
4,1,15,1,192,4355.28
4,1,15,1,219,4293.28
4,1,14,1,211,4272.07
4,1,14,1,200,4320.22
4,1,12,1,198,4438.28
1,1,12,106,80,4342.66
2,1,11,80,58,3625.06
1,1,12,143,98,4279.47
2,1,12,81,60,4502.43
3,1,13,88,68,4323.27
2,1,14,100,76,4268.45
1,1,12,177,121,2577.67
2,1,13,94,71,4395.78
3,1,12,72,57,3956.75
2,1,12,84,61,4380.77
3,1,20,1,207,4349.21
1,1,20,1,417,3875.06
1,1,20,1,601,2780.08
4,1,20,24,122,4127.36
4,1,20,42,183,-1
3,1,20,40,356,3851.59
3,1,20,23,193,3927.01
1,1,20,1,502,3622.3
2,1,20,31,510,-1
1,1,20,1,439,4288.7
1,1,20,75,125,3910.72
1,1,20,60,102,-1
1,1,20,58,102,-1
2,1,20,51,92,-1
3,1,20,54,95,-1
1,1,20,81,135,3660.45
1,1,20,65,108,3872.14
3,1,20,48,88,3931.55
1,1,20,112,181,-1
1,1,20,76,127,4066.33
2,5,20,114,6,3915.11
5,4,19,64,44,-1
4,3,18,88,22,-1
5,3,18,75,34,3951.23
5,3,18,72,35,4404.67
3,5,20,61,49,3938.49
6,3,16,415,132,-1
6,3,16,403,141,4329.78
6,3,16,411,135,3975.58
6,2,16,372,163,-1
6,3,16,419,129,4309.86
6,3,16,396,146,4355.1
6,3,16,396,146,4267.5
6,3,16,405,140,-1
6,3,16,403,141,4280.29
6,3,16,399,144,4515.12
1,10,11,1,3,-1
1,10,11,1,0,4479.49
5,10,12,38,51,4349.09
3,10,11,1,20,4253.61
1,10,11,1,10,4334.88
2,10,11,1,25,4191.8
3,10,11,4,29,3838.47
4,10,11,1,29,-1
8,7,15,1,86,3571.34
9,7,15,1,88,4277.29
10,8,17,1,93,4380.79
10,7,16,1,94,3528.45
10,7,16,1,95,4292.13
10,7,16,1,92,4257.91
9,7,15,1,90,3965.38
9,7,15,1,89,4274.74
7,7,17,189,50,4389.06
7,8,18,229,63,-1
7,8,20,315,77,3879.22
7,8,18,249,75,3974.78
7,7,20,253,53,-1
7,8,19,240,62,4512.79
7,8,17,205,72,4299.63
7,8,18,231,62,-1
7,7,20,244,44,3585.64
7,8,18,224,63,-1
1,1,20,1,270,3607.65
1,1,20,1,466,-1
1,1,20,1,225,4338.07
1,1,20,1,1000,4299.74
2,1,20,1,230,3547.49
2,1,20,1,294,3886.98
10,10,11,1000,0,-1
1,1,20,1,405,3951.64
3,1,20,1,306,-1
10,10,11,1000,0,4339.06
6,8,11,1,148,4302.64
7,7,11,1,176,3943.1
7,7,11,1,148,3592.38
6,8,11,19,142,4359.49
6,7,11,42,202,1519.73
6,8,11,32,195,-1
6,9,11,1,265,4282.75
7,7,11,24,139,-1
6,9,11,1,218,4339.53
6,9,11,1,174,-1
6,7,20,183,166,-1
1,1,20,1000,956,4287.69
6,7,20,223,182,4215.83
4,5,20,318,193,4285.67
4,1,20,551,351,-1
3,3,20,392,243,-1
9,10,11,1,0,3876.96
1,3,20,430,162,4277.03
