write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
4670,20,200,859,108,0.7556949770849187,258,10,957,16,708,190,46,32008,10259,10,10251,39,64,517,22,2675,1619,3257,1427,6477,533,200,1230.01230012
213,20,200,797,108,0.7910254644342795,206,10,1016,19,691,152,55,51218,9054,10,12743,129,64,1043,27,2770,1221,3258,1653,5530,574,200,1216.10117962
20,2074,1381,840,114,0.6184359065559077,100,1444,1648,19,700,255,43,7664,12249,523,5202,31,64,716,21,2940,1333,2472,1048,10826,538,200,1260.71608674
20,20,2283,795,133,0.5984487596165475,100,1898,1856,22,728,265,51,19657,11281,675,6382,31,64,1521,24,3222,1579,2370,1048,8657,549,200,1260.39828586
20,20,1807,814,124,0.6099964291975213,100,1645,1732,20,715,261,46,13942,11753,603,5791,31,64,1165,22,3069,1454,2425,1048,9700,546,200,1243.31717021
20,20,2139,793,131,0.6133762452835523,100,1763,1768,21,726,267,48,18505,11538,669,6249,31,64,1587,23,3078,1610,2400,1048,8583,549,200,1274.6972594
741,20,1609,783,124,0.6759979617093245,262,1308,1436,20,721,271,41,16288,12165,651,5645,31,64,1757,19,2588,1708,2487,1048,8332,553,200,1259.76316453
11553,22861,3285,895,70,1,100,2115,250,15,727,325,55,25434,3115,584,11104,31,64,1313,23,3544,1782,2961,1048,7647,291,2059,1233.6540834
211075,218385,15000,1213,30,1,100,13169,250,28,1104,1747,60,29204,2000,10,100000,31,64,1977,28,18037,4498,10198,1048,2000,100,15000,1256.59713496
10142,20838,2668,884,77,0.9908582965740419,100,1977,250,15,720,299,50,22474,5014,582,10082,31,64,1227,21,3448,1795,2937,1048,8350,331,1723,1265.66257436
97204,62169,9245,887,30,1,100,4162,250,28,669,529,60,2200,2000,10,51743,31,64,100,28,8879,2911,7449,1048,4836,100,9124,1246.26121635
11313,27024,4004,904,63,1,100,2352,250,14,746,355,58,27485,2000,596,11192,31,272,1566,24,3631,1807,2827,1048,6489,275,2133,1275.67291746
6854,22779,200,712,141,0.9616003069272478,1170,10,1086,19,605,238,44,29192,8758,592,9496,31,5344,100,20,1000,1328,2612,1170,15333,442,200,1291.98966408
11703,40849,200,560,246,1,3224,10,3703,21,356,206,60,42376,4486,370,12978,31,9286,100,28,1000,900,2825,2243,13378,336,200,1225.64039711
13843,20730,200,694,149,1,1302,200,2747,15,535,192,50,28959,7075,601,6802,31,3806,100,25,1000,900,2717,1865,10340,365,200,1243.31717021
14631,92584,200,135,531,1,8430,10,10880,20,80,191,60,100935,2000,10,21370,31,22217,100,28,1000,900,3594,3800,5595,262,200,1299.54515919
12441,19062,270,711,139,1,1106,175,2291,16,566,201,47,27527,7725,613,6850,31,3653,100,22,1000,900,2685,1693,11184,387,200,1235.63573459
3781,25491,584,861,140,0.7730239458191621,100,560,250,14,695,260,16,2200,12105,206,10013,75,3138,792,2,1834,1662,2581,1847,7098,462,447,1250.78173859
4723,20020,590,858,109,0.7998098955856512,100,561,250,15,692,253,18,4611,11963,375,8347,75,3294,799,4,1848,1713,2517,1699,7426,447,452,1274.5347948
4116,23616,586,860,127,0.7825017793148746,100,560,250,14,694,258,16,2200,12051,282,9352,75,3204,795,2,1841,1682,2555,1799,7195,457,447,1291.82276192
3885,26553,584,864,108,0.7894040970397477,100,560,250,14,696,266,9,2200,12052,356,8936,74,3662,792,2,1829,1700,2515,1900,6917,458,439,1232.5896709
3814,25968,584,863,127,0.7784489806144169,100,560,250,14,695,263,13,2200,12083,272,9547,75,3354,792,2,1833,1678,2553,1869,7013,461,443,1251.40783381
5696,15416,649,871,55,0.6300921863006927,1381,562,446,12,689,217,23,9483,11726,396,5946,79,2956,819,7,1879,1906,3316,1100,7366,452,481,1258.97016241
5869,14580,646,866,70,0.6809384194322115,1180,562,250,13,688,215,27,10593,11699,381,6039,78,2802,816,9,1891,1880,3207,1143,7617,443,477,1263.74320738
5727,17753,656,877,31,0.583521379354093,1506,562,608,11,689,215,22,10622,11717,302,6485,79,2561,821,5,1897,1940,3368,1048,7010,461,484,1242.54473161
5691,16426,653,875,42,0.6012685926194627,1460,562,539,12,689,216,22,9784,11728,359,6191,79,2824,820,6,1886,1924,3358,1048,7164,458,483,1265.18218623
5658,15469,649,871,54,0.622561524613051,1413,561,479,12,689,217,22,9177,11732,403,5884,79,3001,819,7,1876,1910,3335,1100,7339,454,481,1221.1503236
250000,20,9640,15000,888,0.8636178667285386,15000,14400,15000,9,15000,3800,2,2200,250000,1000,100000,1387,64,25000,2,25000,25000,19052,1048,250000,4180,15000,1285.01670522
250000,20,3757,13670,897,0.9628460451521226,15000,14400,14036,13,15000,2874,6,2200,250000,1000,75606,606,64,19757,2,25000,22857,15099,1191,250000,3003,15000,1269.68004063
218146,20,4024,9782,773,0.9169185415119386,10541,14400,10672,14,15000,2011,20,2200,250000,1000,60123,600,64,13596,9,24537,16716,11788,2080,239509,2227,15000,1238.54347288
242156,20,7469,10884,718,0.8383198052935188,12100,14400,11657,12,15000,2262,5,2200,250000,1000,66471,1027,64,15296,4,25000,19880,12669,1951,250000,2670,15000,1266.14332742
215487,20,5586,9765,727,0.8794849897295419,10605,14400,10521,13,15000,2049,16,2200,250000,1000,59562,773,64,13722,8,25000,17469,11683,2122,239179,2366,15000,1269.84126984
250000,20,7312,15000,942,0.9142052828644658,15000,14400,15000,10,15000,3735,2,2200,250000,1000,96651,1086,64,25000,2,25000,25000,18820,1048,250000,3987,15000,1223.84041121
173646,20,5232,7823,683,0.8643185095271781,8427,14400,8902,14,12223,1656,24,2200,232563,807,51845,721,64,10758,12,21156,14163,10117,2565,191387,1995,12749,1271.61749746
132699,20,3412,5977,676,0.8906845688795341,6193,11058,7232,15,9108,1286,37,22036,176379,601,42716,481,64,7984,16,15494,10435,8609,2932,141710,1555,9517,1261.51129053
182733,20,4703,8214,705,0.8843488942877202,8822,14400,9251,14,13077,1768,24,2200,245496,858,53180,661,64,11531,11,21643,14772,10424,2434,200844,2066,13598,1217.87845573
206277,20,4249,9201,750,0.9034242870663627,9964,14400,10158,14,14757,1969,21,2200,250000,971,57398,623,64,13005,10,23509,16054,11316,2210,223805,2222,15000,1253.9184953
